"Send Email","Mail Gönder"
"Clear All Logs","Tüm Günlükleri Temizle"
"Are you sure you want to clear all email logs?","Tüm günlükleri temizlemek istediğinizden emin misiniz ?"
"Server Name (host)","Sunucu Adı (host)"
Port,Port
Protocol,Protokol
"Transport Layer Security (TLS)","Transport Layer Security (TLS)"
"Secure Sockets Layer (SSL)","Secure Sockets Layer (SSL)"
None,Yok

"Gmail, GSuite","Gmail, GSuite"
"Amazon SES","Amazon SES"
"US East (N. Virginia)","US East (N. Virginia)"
"US West (Oregon)","US West (Oregon)"
"EU (Ireland)","EU (Ireland)"
Mailgun,Mailgun
Mandrill,Mandrill
Sendinblue,Sendinblue
Sendgrid,Sendgrid
"Elastic Email","Elastic Email"
SparkPost,SparkPost
Mailjet,Mailjet
Postmark,Postmark
"AOL Mail","AOL Mail"
Comcast,Comcast
GMX,GMX
Hotmail,Hotmail
Mail.com,Mail.com
"O2 Mail","O2 Mail"
Office365,Office365
Orange,Orange
Outlook,Outlook
"Yahoo Mail","Yahoo Mail"
"Yahoo Mail Plus","Yahoo Mail Plus"
"Yahoo AU/NZ","Yahoo AU/NZ"
AT&T,AT&T
"NTL @ntlworld.com","NTL @ntlworld.com"
"BT Connect","BT Connect"
"Zoho Mail","Zoho Mail"
Verizon,Verizon
"BT Openworld","BT Openworld"
"O2 Online Deutschland","O2 Online Deutschland"
"1&1 Webmail","1&1 Webmail"
OVH,OVH
SMTP2GO,SMTP2GO

"Customer synchronization has been completed.","Müşteri aktarımı tamamlandı."
"The recovery succeeded.","Kurtarma tamamlandı."
"Marketing Automation is disabled.","Pazarlama otomasyonu devre dışı."
"The link is not available for your use","Bağlantı kullanımınız için uygun değil"
"An error occurred while recovering your cart.","Sepetinizin geri yüklenmesi sırasında bir sorun oluştu."
"An error occurred while logging in your account. Please try to log in again.","Hesabınıza giriş yapılırken bir sorun oluştu."
"Please login with %1","Lütfen %1 ile giriş yapınız"
"Abandoned Carts","Terkedilen Sepetler"
Mageplaza,Mageplaza
Smtp,Smtp
"Cart recovery email was sent to the customer successfully!","Sepet kurtarma mesajı müşteriye gönderildi!"
"Cart recovery email cannot sent to the customer.","Sepet kurtarma mesajı müşteriye gönderilemedi."
